Author;EMAType;Range;FOD;BlindSubject;BlindFolded;Training time;Baseline;CourseLength;NumberOfObjects;Density;WalkingSpeed_EMA;WalkingSpeed_SD_EMA;WalkingSpeed_WC;WalkingSpeed_SD_WC;WalkingSpeed_EMAWC;WalkingSpeed_SD_EMAWC;Collisions_EMA;Collisions_WC;Collisions_EMAWC
Bhatlawande;pEMA;1.5;90;;2;;EMA;20;5;0.25;0.6;;;;0.74;;1;;0
Roentgen;pEMA;1;;8;;;WC;25;12;0.48;;;0.62;;0.5;;;7.8;2.8
Dodds;sEMA;3;;6;;;WC;;;;;;;;;;;;
Gao;sEMA;3.6;180;;15;;WC;80;12;0.15;0.52;;0.42;;0.5;;4.8;6.2;0.8
Grow;sEMA;3;;2;;;WC;;;;;;;;;;;2.9;1.14
Lee;sEMA;2;100;15;;;WC;138;8;0.06;0.41;;0.46;;0.54;;0.3;1.8;0
Kim;aEMA;2;;20;;;WC;20;14;0.7;0.29;0.08;0.3;0.07;;;6.5;8;
Kuchenbecker;aEMA;2;18;;15;;WC;30;10;0.33;0.19;0.09;0.33;0.17;;;;;
OBrien;aEMA;1;60;;16;;WC;20;5;0.25;;;;;;;;;
Roentgen;aEMA;2;;8;;;WC;25;12;0.48;0.49;;0.62;;;;4.2;7.8;
Santos;aEMA;1.5;30;10;;;WC;21;7;0.33;0.33;;0.4;;;;;;
Santos;aEMA;1.5;30;;31;;WC;21;7;0.33;0.2;;0.26;;;;;;
Vaibhav;aEMA;3;30;28;;;WC;17;14;0.82;;;;;;;0.4;5.6;
Bhatlawande;rEMA;4;180;20;;;WC;30;10;0.33;0.68;;0.75;;;;1.5;2.1;
Patil;rEMA;;180;48;;;WC;3.4;10;2.94;0.43;;0.4;;;;1.6;3.3;
Patil;rEMA;;180;48;;;WC;30;30;1;0.67;;0.6;;;;3.4;5.6;
Patil;rEMA;;180;48;;;WC;34.7;50;1.44;0.7;;0.66;;;;4;6.8;
